video_id,channelTitle,title,description,tags,publishedAt,duration,definition,caption,viewCount,likeCount,favoriteCount,commentCount
1RosddUwkt0,Jenny Damm,Jenny Damm & Azta training February 2021   SD 480p,"Azta is here for a visit! Here is some collected training videos from the past days 😁❤️🥳 Slalom, RC and some course training 🤗 🍀🥰🐾 #DownforceAzta",,2021-02-14T14:37:45Z,PT6M37S,sd,false,1208,33,0,0
wGvyDYDK_wQ,Jenny Damm,JENNY bow 2 0,"The ultimate training mate when you want to teach your agility dog independent, fast and cool weave poles! 
Durable, safe for the dog and easy to use.",,2020-11-27T07:11:23Z,PT1M1S,hd,false,828,16,0,0
6Lw9QeNI03c,Jenny Damm,Jenny Damm & Azta- RC exits,,"['Jenny damm', 'azta', 'Lotuseducation', 'downforce azta', 'Nettan', 'figur friends', 'lupus', 'aptus prosport', 'aptus Sverige icebug']",2020-08-28T10:01:41Z,PT2M57S,hd,false,1788,34,0,6
ltqfbFMQJNI,Jenny Damm,When it's raining like crazy outside - Jenny Damm agility with Mailiz & Ogin,Jenny Damm training turns and discriminations with Mailiz (19 months) and Ogin (13 years) enjoys his retirement,"['Jenny Damm', 'Mailiz', 'Ogin', 'Lotus Education', 'Lotushallen', 'agility', 'discriminations.']",2020-07-07T07:00:22Z,PT3M25S,hd,false,1615,39,0,1
KssgxCDQKHo,Jenny Damm,Jenny Damm and Nettan Training With Azta And Zonia - June 2020,Dogwalk exits and foundation handling,"['Jenny Damm', 'lotus education', 'Azta', 'Zonia', 'Running Dogwalk', 'RC', 'DW exits', 'RC fun', 'foundations', 'agility', 'agility foundations', 'teamwork']",2020-06-24T09:38:52Z,PT4M13S,hd,false,2572,57,0,0
8wjm06SXrMU,Jenny Damm,Inspirational video for 1-meter JENNY tunnels - turns and discrimination training,Jenny Damm is training Mailiz and Ziv using the smart 1-meter tunnel. It's a perfect tool when training tight turns and discriminations.,"['Jenny Damm', 'lotus education', 'Mailiz', 'Ziv', '1-meter tunnels', 'agility', 'tight turns', 'discrimination training', 'Away to me Mailiz', 'Emenems Ziv', 'foundation training', 'JENNY tunnels', 'JENNNY bags']",2020-06-01T04:12:51Z,PT7M3S,hd,false,2768,56,0,0
2TkCncY6siY,Jenny Damm,Azta RC and discrimination 2020,Jenny and Nettan train RC and discriminations,"['Jenny Damm', 'agility', 'Azta', 'RC', 'running contacts', 'Nettan', 'downforce Azta', 'Lotuseducation']",2020-04-22T10:19:30Z,PT3M46S,hd,false,2008,76,0,6
J51GrRkIqZI,Jenny Damm,Mailiz & Zonia - Agility Foundations,Jenny Damm and Nettan - training our younsters Mailiz & Zonia,,2020-04-04T19:44:53Z,PT6M34S,hd,false,3992,97,0,2
v7DCPNrIAoE,Jenny Damm,"Jenny Damm, Ziv & Azta - UKI trial Florida 2019","Jenny Damm, Ziv & Azta - UKI trial Florida 2019
Azta 1st and Ziv 2nd in the Masters series final","['iMovie', 'jenny', 'jenny damm', 'Lotuseducation', 'Ziv', 'Emenems Ziv', 'Azta', 'Downforce Azta', 'agility', 'Florida', 'Nettan']",2019-02-22T11:37:23Z,PT5M47S,hd,false,4007,53,0,4
ACo1jHEvx1o,Jenny Damm,"Lisa with Azta, Selma, Zaa & Ziv - Lotuscupen 2108","Lisa is runnig with Azta, Selma, Zaa & Ziv. Lotuscupen 1 dec 2018",['iMovie'],2018-12-05T18:36:53Z,PT4M4S,hd,false,1859,38,0,2
AespgZ8_Jh0,Jenny Damm,Jenny Damm & Azta - grade 1,Jenny Damm & Downforce Azta - competing grade 1,"['iMovie', 'jenny damm', 'Azta', 'Downforce', 'Border collie', 'agility', 'lotus education', 'Nettan', 'jeanette johansson']",2018-09-21T17:15:57Z,PT4M7S,sd,false,6232,80,0,15
vTCGacI1EYg,Jenny Damm,"Jenny Damm, Lilli & Ziv - Agility Slow Motion, spring 2018","Jenny Damm, Lilli & Ziv - slow motion 2018","['iMovie', 'jenny damm', 'agility', 'lilli', 'Miss lilli', 'Ziv', ""EmenEm's"", 'swedish tryouts', 'agilitylandslaget', 'Nettan', 'Lotus education', 'Away to Mee', 'larsahallen', 'border collie']",2018-06-03T05:27:26Z,PT3M58S,sd,false,5458,83,0,4
bQg6rXjXS8A,Jenny Damm,"Jenny Damm, Lilli & Ziv - Swedish agility tryouts 2018","Jenny Damm, Lilli & Ziv - Swedish agility tryouts 2018","['iMovie', 'jenny damm', 'Away to me Miss Lilli', ""Emenem's Ziv"", 'agility', 'swedish tryouts', 'Nettan', 'Lotuseducation', 'swedish agility', 'larsahallen']",2018-05-23T08:39:34Z,PT4M38S,sd,false,4769,67,0,6
v8_fQefOE1k,Jenny Damm,Jenny Damm and Miss Lilli - the Swedish agility dog of 2017,Jenny Damm and Miss Lilli - the Swedish agility dog of 2017,"['iMovie', 'jenny damm', 'miss lilli', 'away to me', 'nettan', 'lotus education', 'agility']",2018-01-20T10:28:43Z,PT7M18S,sd,false,9658,100,0,8
s82qF7z2cxI,Jenny Damm,Merry Christmas 2017,Merry Christmas 2017,['iMovie'],2017-12-24T10:30:33Z,PT55S,sd,false,923,26,0,2
BRApaPELvRM,Jenny Damm,"Jenny Damm, Lilli & Ziv, Novemberrusket 2017","Jenny Damm, Lilli & Ziv - Novemberrusket 2017","['iMovie', 'jenny damm', 'agility', 'lotus education', 'lilli', 'miss lilli', 'away to me', 'emenems', 'ziv', 'nettan', 'team lilli']",2017-12-21T08:05:23Z,PT4M13S,sd,false,2901,31,0,4
Tbg2dVooTp8,Jenny Damm,"Jenny Damm & Emenems Ziv - NO 2017, Friday",Ziv on her first big event! My very special and fun little red head.,"['iMovie', 'jenny damm', 'ziv', 'emenems', 'agility', 'norwegian open', 'lotus education']",2017-10-20T22:36:44Z,PT1M18S,sd,false,3528,39,0,2
S3O1HoKsB_c,Jenny Damm,"Jenny Damm & Miss Lilli, Lund 26-27 August 2017","Jenny Damm & Miss Lilli, winning four out of four runs in Lund, 26-27 August 2017","['iMovie', 'jenny Damm', 'miss lilli', 'away to me', 'agility', 'nettan', 'jeanette johansson', 'lund agility', 'away to me miss lilli']",2017-09-05T08:24:49Z,PT3M17S,sd,false,2633,33,0,3
UZe_CKQbCzA,Jenny Damm,"Jenny Damm & Miss Lilli - Karlskrona, 19 August 2017","Jenny Damm & Miss Lilli - winning three runs in Karlskrona, 19 August 2017","['iMovie', 'jenny damm', 'agility', 'lilli', 'miss lilli', 'lotuseducation', 'nettan', 'jeanette johansson', 'team lilli', 'karlskrona']",2017-08-26T06:16:36Z,PT3M29S,sd,false,4334,47,0,8
vsNPaB6ZsMo,Jenny Damm,Jenny Damm & Miss Lilli - Nordic Champions 2017 - with Music,"Jenny Damm & Miss Lilli - winning Nordic Championship 2017. And the music is dedicated to Lilli's breeder Britt Perez at kennel Away To Me, as we had a nice Indian celebration dinner Sunday before we went home, and we were watching Indian colourful music videos ;o)",['iMovie'],2017-08-18T07:28:55Z,PT5M38S,sd,false,2074,27,0,2
IVOCcK5XU6o,Jenny Damm,Jenny Damm & Miss Lilli - Nordic Champions 2017,Jenny Damm & Miss Lilli - winning Nordic Championship 2017,"['iMovie', 'jenny damm', 'miss lilli', 'away to me', 'agility nm agilty', 'nordiska mästerskapen agility', 'jeanette johansson', 'nettan', 'team lilli', 'lotuseducation', 'agility', 'border collie', 'lilli']",2017-08-16T10:16:09Z,PT5M37S,sd,false,5734,53,0,10
nSPkW4pSVqA,Jenny Damm,"Jenny Damm & Miss Lilli, EO Italiy 2017","Jenny Damm & Miss Lilli, EO Italy 2017",['iMovie'],2017-07-29T22:02:39Z,PT1M45S,sd,false,7186,51,0,2
00hBvcHfYPk,Jenny Damm,"Jenny Damm & Miss Lilli, Tryouts 2017","Jenny Damm & Miss Lilli, winners of Swedish tryouts 2017","['iMovie', 'jenny damm', 'miss lilli', 'lilli', 'agility', 'landslagsuttagning', 'larsahallen', 'swedish tryouts', 'away to me']",2017-05-09T05:05:40Z,PT4M23S,sd,false,3549,35,0,5
Q5h6YuqFEU4,Jenny Damm,Jenny Damm Agility - Gåsahoppet 2017,"Jenny Damm running with Lilli and Ziv April 14-16, 2017
This is Ziv's second official trial in Sweden. She's running the open classes. Lilli won five runs and came 2nd in the final. 
Judges are Renan Campos, Tamas Traj, Sascha Grunder and Andreas Silfverberg.","['iMovie', 'Jenny Damm', 'lotuseducation', 'miss lilli', 'away to me', 'Gåsahoppet', 'agility', 'Ziv', ""emenem's"", 'nettan']",2017-04-22T09:06:17Z,PT6M58S,sd,false,5749,54,0,6
7MNlfMpysZ0,Jenny Damm,Jenny Damm & Away To Me Miss Lilli - Crufts 2017,Our trips to Birmingham and Crufts 2017! Jenny Damm and Miss Lilli competes at the international agility event.,"['jenny damm', 'lotus education', 'miss lilli', 'away to me', 'agility', 'crufts', 'international agility', 'nettan', 'lilli']",2017-04-22T07:02:01Z,PT7M7S,sd,false,2499,39,0,10
ZiWGUgkbxj4,Jenny Damm,Miss Lilli  - The Swedish agility dog of the year 2016,"For the third time Lilli got the title ""The Swedish Agility dog of the Year"", this after 3,5 years of competing. Lilli is such a clever, silly, fun and talented dog - a special girl! In this video I have mixed some different runs from the year. She also won the Swedish qualifications, qualified for Crufts, won the Swedish championship and got one silver and one bronze medal at European open. A pretty good year for us :)","['jenny damm', 'lotus education', 'miss lilli', 'away to me', 'Jeanette Johansson', 'nettan', 'lilli', 'agility', 'border collie', 'årets agilityhund']",2016-12-21T10:45:06Z,PT10M57S,sd,false,9397,106,0,18
h3F7DLOpJDQ,Jenny Damm,Jenny Damm & Miss Lilli - last trial of 2016,,,2016-11-21T18:38:15Z,PT4M20S,sd,false,7396,84,0,16
2mB2Uhi5UvQ,Jenny Damm,Jenny Damm & Miss Lilli - agility Halmstad May 2016,"Jenny Damm & Miss Lilli, 4/4 wins - agility in Halmstad May 2016","['iMovie', 'jenny damm', 'miss lilli', 'away to me', 'agility', 'lotus education', 'border collie']",2016-05-23T08:22:56Z,PT3M8S,sd,false,16451,122,0,6
4i_6HW60Bn8,Jenny Damm,"Jenny Damm, Lilli & Ogin - Swedish qualifications 2016","Jenny Damm, Lilli & Ogin - Swedish qualifications 2016","['iMovie', 'jenny damm', 'miss lilli', 'lilli', 'ogin', 'swedish qualifications', 'agility', 'wc agility 2016', 'away to me Miss lilli', 'kvarkin Krug', 'lotuseducation']",2016-05-04T10:23:58Z,PT8M5S,sd,false,5880,63,0,7
_HwCjYQ7Zus,Jenny Damm,Jenny Damm & Miss Lilli - Gåsahoppet 2016,Jenny Damm & Miss Lilli - Gåsahoppet 2016,"['iMovie', 'jenny damm', 'lotus education', 'agility', 'miss lilli', 'Gåsahoppet']",2016-03-28T09:55:37Z,PT5M51S,sd,false,6937,84,0,15
fsY50okFRIA,Jenny Damm,Miss Lilli - Norwegian Open Mix 2015,"Jenny Damm & Miss Lilli - Winner of Norwegian Open 2015
A video with a mix of the runs from the weekend.",['iMovie'],2015-10-26T19:05:36Z,PT5M44S,sd,false,6546,76,0,17
M3nMMmTr5go,Jenny Damm,Jenny Damm & Miss Lilli Summer 2015,Den här videon handlar om Jenny Damm & Miss Lilli August 2015,['iMovie'],2015-08-25T20:42:28Z,PT3M18S,sd,false,6784,66,0,5
ROy3wwb1uY4,Jenny Damm,Jenny Damm & Miss Lilli - Crufts 2015,A video about Miss LIlli's trip to Crufts 2015,['iMovie'],2015-03-20T20:02:43Z,PT8M50S,sd,false,14123,178,0,26
Blin-q0iuGg,Jenny Damm,Away To Me Miss Lilli - The Agility Dog of 2014,Jenny Damm and Away To Me Miss Lilli - The Agility Dog of 2014,['iMovie'],2014-12-15T22:49:10Z,PT11M25S,sd,false,11698,101,0,11
mgcPtZYShHQ,Jenny Damm,Lilli - My Cheerleader,"Jenny Damm and Lilli on the last trial of 2014! Nice final of the year!
Lilli is just amazing, in every way. She's is my little cheerleader and she's always there when I need her :)",['iMovie'],2014-11-17T10:31:22Z,PT3M2S,sd,false,8723,69,0,4
ojZcDHXXwuA,Jenny Damm,Jenny Damm & Lilli - RC fun,Jenny Damm & Lilli - Training Running Contacs and commando proofing. You can read more about this in my blog at www.lotuseducation.se,"['iMovie', 'Running Contacts', 'RC', 'Lilli', 'Jenny Damm']",2014-10-06T10:22:04Z,PT4M54S,sd,false,25862,193,0,24
NSnx6t6eul0,Jenny Damm,Lisa Jenny WC 2014 Jumping slowmotion comparison,,,2014-09-24T23:34:06Z,PT2M1S,hd,false,5072,25,0,0
9IrV4a-v34I,Jenny Damm,Jenny Damm Training Discrimination,Jenny Damm Training Discrimination with Lilli. A-frame/tunnel,['iMovie'],2014-08-18T17:26:20Z,PT2M4S,sd,false,11026,96,0,4
dBF8zXEFWPk,Jenny Damm,Jenny Damm & Miss Lilli EO Champions 2014,Den här videon handlar om Jenny Damm & Miss Lilli EO Champions 2014,['iMovie'],2014-08-02T13:34:18Z,PT5M41S,sd,false,11556,82,0,13
zFGECPn8MtI,Jenny Damm,Jenny Damm & Zeljko Gora Dania Cup 2014,Jenny Damm & Zeljko at Gora Dania Cup 2014,['iMovie'],2014-07-13T11:46:12Z,PT3M36S,sd,false,5951,37,0,1
s99g3PREiCE,Jenny Damm,Miss Lilli's Golden movie,Jenny Damm & Miss Lilli's Golden movie - Gold Agility winner 2014,['iMovie'],2014-07-09T12:46:23Z,PT6M23S,sd,false,6252,49,0,4
Yo5aSEjSMrs,Jenny Damm,Away to Me Miss Lilli - winner of Swedish qualifications 2014,Jenny Damm and Away to Me Miss Lilli - winner of Swedish qualifications 2014,"['iMovie', 'jenny damm', 'miss lilli', 'agility', 'lotus edication', 'lilli']",2014-07-01T15:11:19Z,PT6M13S,sd,false,6026,38,0,4
qWBGvjhhCQk,Jenny Damm,"Ziv's - training 1: Running contacts, crate games, brain games & distraction","This is Ziv's first training video! It shows some clips how we start our training for Running contacts, crate games, thinking games & distraction",['iMovie'],2014-06-12T08:34:32Z,PT5M15S,sd,false,23945,174,0,6
a-3CCIoztf8,Jenny Damm,Ziv - clips from her first months,"Let me present EmenEm's Ziv! You can read more about her and my other dogs at www.lotuseducation.se
Photos in the end by Ingemar Johansson, http://www.ingosfoto.se/#!home",['iMovie'],2014-05-06T12:53:03Z,PT5M52S,sd,false,4426,40,0,2
gmyR9vylzQo,Jenny Damm,Jenny Damm Trying Different Ways & Handling,"Here you can see different ways and times in the same sequence. You will find a course map and some explanation about the video in my blog, at:
www.lotuseducation.se",,2014-04-06T09:26:22Z,PT2M59S,sd,false,6138,40,0,0
MWVIYgnZ2AY,Jenny Damm,Jenny Damm & Miss Lilli in Florida,"Video of an agility trial in Florida, with Jenny Damm & Lilli.
Gail Maidens helped me to plan the Snookers and Gamblers, so lot of credit to her! ;)",,2014-03-21T00:44:26Z,PT8M6S,sd,false,5642,47,0,8
xa4TzB2Nud4,Jenny Damm,Miss Lilli's RC training - a summary by Jenny Damm,This is a summary about how we trained Lilli's running contacts. You can also read about how we trained on my blog and website. www.lotuseducation.se,"['RC', 'running contacts', 'jenny Damm', 'Lilli', 'miss Lilli', 'Nettan', 'Jeanette Johansson', 'Lotus Education']",2014-02-25T21:22:24Z,PT10M42S,sd,false,68455,369,0,12
wUkdzu9OHBY,Jenny Damm,(with other music) Jenny Damm & Miss Lilli in Italy 2014,"Video for countries who couldn't see the first video of Lilli's runs in Italy, because of the music.",,2014-02-11T14:31:45Z,PT3M36S,sd,false,2925,17,0,2
NFBqvFnqF84,Jenny Damm,Jenny Damm & Miss Lilli - Italy 2014,Jenny Damm & Away to Me Miss Lilli winning in Italy,,2014-02-10T21:16:32Z,PT3M36S,sd,false,4315,35,0,3
7S41j5-hBvY,Jenny Damm,"Jenny Damm & Ina - WAO Agility Festival, Dec 2013",,,2013-12-17T19:59:56Z,PT3M22S,sd,false,2926,31,0,2
vewXP0V3dRo,Jenny Damm,"Jenny Damm & Lilli - WAO Agility festival, Dec 2013",,,2013-12-17T19:59:18Z,PT4M19S,sd,false,3581,27,0,5
YCUoF_k_Slw,Jenny Damm,Miss Lilli The Agility Dog of the Year,,,2013-12-06T09:06:16Z,PT7M16S,sd,false,4882,50,0,4
ptbs_jOe2bc,Jenny Damm,"Jenny Damm & Ogin, Agility Vårgårda 2013",,,2013-11-26T08:37:24Z,PT4M12S,sd,false,2455,28,0,0
_ufxCNru0R4,Jenny Damm,"Jenny Damm & Lilli - Agility, Vårgårda 2013",,,2013-11-25T09:15:30Z,PT3M48S,sd,false,2973,24,0,1
s7jOhgoz3EE,Jenny Damm,Miss Lilli   winning in Halmstad,,,2013-11-11T17:54:50Z,PT2M2S,sd,false,3454,53,0,5
y4Ti03lqNw0,Jenny Damm,Miss Lilli's American tour 2013 Trial,,,2013-10-15T00:39:27Z,PT4M29S,sd,false,2608,32,0,9
LsZ0tVrn0bc,Jenny Damm,Jenny Damm Agility - A nice run with Ina,,,2013-09-11T09:39:05Z,PT2M17S,sd,false,2423,26,0,7
5z241w4Rh5A,Jenny Damm,Jenny Damm agility - My stars of today!,Jenny Damm 1st and 2nd with Lilli and Ogin in AG3.,,2013-08-26T05:55:29Z,PT1M56S,sd,false,2633,22,0,2
nfUwRXMPKjs,Jenny Damm,Lilli Running Contacts on EO & BCC 2013,,,2013-08-07T23:17:29Z,PT2M8S,sd,false,4035,39,0,3
HSAZWfCP0qM,Jenny Damm,Jenny Damm Agility   BCC 2013,,,2013-08-07T20:48:59Z,PT5M51S,sd,false,1471,11,0,0
bTJv0H6KfSQ,Jenny Damm,Team Jenny Damm from Sweden   Bronze BCC 2013,,,2013-08-07T20:48:23Z,PT7M19S,sd,false,15222,157,0,13
YMDjhcy-gpE,Jenny Damm,Jenny Damm Agility   BCC individual final,,,2013-08-07T20:47:51Z,PT2M33S,sd,false,1481,7,0,1
Tyw5fREJSQs,Jenny Damm,Jenny Damm agility   Mix EO 2013,,,2013-08-07T17:33:01Z,PT2M36S,sd,false,2392,23,0,4
gS0Ji_KkTKI,Jenny Damm,"Jenny Damm Agility - Miss Lilli, Karlstad, July, 2013",,,2013-07-15T08:12:40Z,PT3M27S,sd,false,2491,24,0,2
dwunRiQP8EQ,Jenny Damm,Jenny Damm agility - The right way,,,2013-07-05T10:11:22Z,PT6M21S,sd,false,17432,107,0,10
x9Hy8KGrWjU,Jenny Damm,"Jenny Damm Agility - German version - Varberg, June 2013",The video with music that should be allowed in all countries :),,2013-06-28T11:17:28Z,PT3M45S,sd,false,1921,14,0,1
pwpYjw22uIQ,Jenny Damm,"Jenny Damm Agility - Varberg, June 2013",Clean runs in jumping 3 with all my four dogs and Lilli won!,"['agility', 'jenny damm', 'lilli', 'miss lilli', 'ina', 'ogin', 'elvis']",2013-06-28T10:48:09Z,PT3M52S,sd,false,1122,9,0,4
Opu17CZflnU,Jenny Damm,Jenny Damm agility   SM 2013,Ogin wins silver on the Swedish Championship,,2013-06-20T11:22:22Z,PT5M39S,sd,false,6423,49,0,3
4pfIQ0976HI,Jenny Damm,"Jenny Damm agility   Lilli Halmstad, June 2013",,,2013-06-14T15:13:02Z,PT3M12S,sd,false,2163,27,0,1
gdoShUJvgGY,Jenny Damm,Jenny Damm Agility   Lilli Växjö,,,2013-06-10T09:23:22Z,PT3M49S,sd,false,2704,14,0,0
kQy4ItEajaA,Jenny Damm,Miss Lilli Agility 1  May 2013 (German & Italian version!),"2nd version, for countries were the first one was blocked, of Lilli's last trial! I finally found some music that fits Lilli's personality and the video... ;)",,2013-05-12T20:25:17Z,PT2M56S,sd,false,1920,17,0,2
3QZteXBrj0c,Jenny Damm,Miss Lilli Agility 1  May 2013,"Jenny Damm and Away to me Miss Lilli 
Agility and jumping 1, mixed clips from the last weekend",,2013-05-11T21:51:26Z,PT2M56S,sd,false,1614,13,0,2
ERXrA96QEdM,Jenny Damm,Jenny Damm agility April 2013, ,,2013-04-25T22:13:20Z,PT3M31S,sd,false,2938,29,0,7
Jy4SGYHJwAE,Jenny Damm,Lilli - agility1-130414,"She won jumping today, but the camera went out of memory so no video of that run :o( So here is the agility run instead!","['lotus education', 'lilli', 'miss lilli', 'away to me miss lilli', 'jenny damm', 'Nettan']",2013-04-14T19:45:47Z,PT1M4S,sd,false,2266,33,0,5
-XGPKvyLETI,Jenny Damm,Miss Lilli's debut,Lilli is running her first trial ever!,"['jenny damm', 'lilli', 'away to me', 'lotus education', 'agility']",2013-03-31T05:51:28Z,PT3M50S,sd,false,4226,32,0,3
l--Vqi3x_2M,Jenny Damm,Miss Lilli - slalom part 2,"You can follow our training in my blog, watch more videos, find more information, etc. at: www.lotuseducation.se
This is the continuation of Lilli's weave training with channel and wires-method. We both love it and so far she developed faster than I could ever imagine!","['jenny damm', 'weave training', 'slalom', 'agility', 'lilli', 'away to me', 'miss lilli', 'lotuseducation']",2013-02-21T17:09:40Z,PT6M33S,sd,false,7821,77,0,7
P8NzUHdxvOQ,Jenny Damm,Miss Lilli - slalom,"Finally we've started Lilli's weave training! Follow our training and other things in my blog at
www.lotuseducation.se","['Miss', 'Lilli', 'slalom']",2013-02-13T10:44:51Z,PT1M41S,sd,false,6316,35,0,1
fdUoh0c5UZI,Jenny Damm,First run of 2013 - analysis,"Analysis of the first run this year and some training with Ogin and Lilli. Visit our website and you will find a blog spot with course map etc. connected to the video! 
www.lotuseducation.se
WELCOME!","['First', 'run', 'of', '2013']",2013-02-12T00:28:27Z,PT4M25S,sd,false,4430,49,0,7
kt_s-k6GZzo,Jenny Damm,Smådjurshälsans hundsim,"Vi hälsar alla hundar, hussar och mattar varmt välkomna till Smådjurshälsans fina, nybyggda hundsim i Vinslöv utanför Hässleholm!","['Smådjurshälsans', 'hundsim']",2013-02-06T17:02:52Z,PT3M25S,sd,false,3878,34,0,4
plaE9gqixtE,Jenny Damm,Lotus Educations X-mas movie 2012,Another try to upload the video... don't miss the end... ;o) Merry Christmas!,"['X', 'mas', 'movie', '20124']",2012-12-23T15:13:05Z,PT10M7S,sd,false,1802,29,0,1
davyVOhKeAI,Jenny Damm,Miss Lilli Running A-frame,"Visit my new website!: www.lotuseducation.se
Lilli's first tries on the A-frame. The clips come in chronological order, as you can see on how I'm dressed... ;o)","['Miss', 'Lilli', 'Running', 'frame', 'running contacts', 'jenny damm']",2012-12-13T09:23:17Z,PT2M9S,sd,false,8869,37,0,4
REjukwuGkSM,Jenny Damm,Miss Lilli Running Dog-Walk Dec 2012,"Visit my new website and blog! www.lotuseducation.se
Jenny Damm training Running Contacts with Lilli, variation between turns and straight ends of the DW.","['jenny damm', 'lotus education', 'miss lilli', 'running contacts', 'agility']",2012-12-05T15:07:45Z,PT1M25S,sd,false,2488,18,0,2
QiDadBf0D60,Jenny Damm,Jenny Damm agility - Vårgårda 2012,"Visit my NEW WEBSITE and my NEW BLOG!: www.lotuseducation.se
Me and my dogs run the last competition for this year, a really fun one! :o)","['jenny damm', 'lotus education', 'ina', 'ogin', 'elvis', 'agility']",2012-11-28T17:56:01Z,PT8M59S,sd,false,14153,108,0,20
MN0pWex3C2Y,Jenny Damm,Jenny Damm agility - Rättvik 2012,"1st, 2nd and 3rd place in one course and many other good results. Such a fun weekend with my fantastic dogs!!","['jenny damm', 'agility', 'lotus education', 'border collie', 'elvis', 'ogin', 'ina']",2012-11-07T12:11:46Z,PT4M55S,sd,false,3001,34,0,5
bMGcW2BScZU,Jenny Damm,Lilli's American tour 2012,"A video about Lilli's trip to America. Activities, nature, places, herding and agility training.","['jenny damm', 'aglity', 'lilli', 'away to me', 'lotus education', 'vallning', 'hundar']",2012-10-11T07:14:25Z,PT10M50S,sd,false,1470,27,0,9
ftlFsbK2YYU,Jenny Damm,Away to me Miss Lilli 1 year!,Lilli celebrates her first birthday :o),"['Lilli', '1', 'år']",2012-06-08T17:40:29Z,PT2M59S,sd,false,5659,75,0,5
cbCfVlySQOQ,Jenny Damm,Jenny Damm agility - spring 2012, ,"['Some', 'runs', 'spring', '2012']",2012-05-10T18:02:20Z,PT4M26S,sd,false,5037,32,0,4
6pfonMNL6bQ,Jenny Damm,Elvis 11 years,A birthday video for my crazy 11 years old Elvis! Photos and videos in a mix to the sweet child of mine! :o),"['Elvis', 'jenny damm', 'agility']",2012-05-09T17:42:13Z,PT8M32S,sd,false,1361,20,0,4
-rDT53JZqmk,Jenny Damm,Jenny Damm - Extreme Slalom,Jenny Damm plays with slalom proofing and command-discrimination with her dogs! :o),"['Slalom', 'agility', 'jenny damm', 'ina', 'ogin']",2012-03-27T08:50:29Z,PT5M35S,sd,false,16817,125,0,9
k4cOnrNyG_8,Jenny Damm,"Jenny Damm - Agility, start of 2012",A summary of Jenny and her dogs two first competitions of 2012,"['jenny', 'damm', 'lotus', 'education', 'lilli', 'away', 'to', 'me']",2012-02-21T20:12:57Z,PT7M2S,sd,false,9473,62,0,1
